,index,0
48,priceToSalesTrailing12Months,8.961201
49,fiftyDayAverage,616.673
50,twoHundredDayAverage,502.88297
51,trailingAnnualDividendRate,0.0
52,trailingAnnualDividendYield,0.0
53,currency,USD
54,tradeable,False
55,enterpriseValue,137390653440
56,profitMargins,0.07186
57,floatShares,155028739
58,sharesOutstanding,205056000
59,sharesShort,6577598
60,sharesShortPriorMonth,7592782
61,sharesShortPreviousMonthDate,1745971200
62,dateShortInterest,1748563200
63,sharesPercentSharesOut,0.0321
64,heldPercentInsiders,0.24323
65,heldPercentInstitutions,0.69217
66,shortRatio,2.88
67,shortPercentOfFloat,0.0424
68,impliedSharesOutstanding,205056000
69,bookValue,30.465
70,priceToBook,23.277205
71,lastFiscalYearEnd,1735603200
72,nextFiscalYearEnd,1767139200
73,mostRecentQuarter,1743379200
74,earningsQuarterlyGrowth,0.142
75,netIncomeToCommon,1166000000
76,trailingEps,6.31
77,forwardEps,8.91
78,enterpriseToRevenue,8.467
79,enterpriseToEbitda,76.243
80,52WeekChange,1.1975975
81,SandP52WeekChange,0.11395991
82,quoteType,EQUITY
83,currentPrice,709.14
84,targetHighPrice,847.71857
85,targetLowPrice,460.51697
86,targetMeanPrice,680.1843
87,targetMedianPrice,693.2602
88,recommendationMean,1.925
89,recommendationKey,buy
90,numberOfAnalystOpinions,38
91,totalCash,6957000192
92,totalCashPerShare,33.927
93,ebitda,1802000000
94,totalDebt,2177999872
95,quickRatio,1.3
96,currentRatio,1.484
97,totalRevenue,16227000320
98,debtToEquity,34.865
99,revenuePerShare,80.239
100,returnOnAssets,0.10045999
101,returnOnEquity,0.24404
102,grossProfits,5063000064
103,freeCashflow,1161250048
104,operatingCashflow,2628999936
105,earningsGrowth,0.103
106,revenueGrowth,0.152
107,grossMargins,0.31201
108,ebitdaMargins,0.111049995
109,operatingMargins,0.121479996
110,financialCurrency,EUR
111,symbol,SPOT
112,language,en-US
113,region,US
114,typeDisp,Equity
115,quoteSourceName,Nasdaq Real Time Price
116,triggerable,True
117,customPriceAlertConfidence,HIGH
118,shortName,Spotify Technology S.A.
119,longName,Spotify Technology S.A.
120,regularMarketChangePercent,2.28178
121,regularMarketPrice,709.14
122,marketState,POST
123,exchange,NYQ
124,messageBoardId,finmb_225595077
125,exchangeTimezoneName,America/New_York
126,exchangeTimezoneShortName,EDT
127,gmtOffSetMilliseconds,-14400000
128,market,us_market
129,esgPopulated,False
130,corporateActions,[]
131,postMarketTime,1749673532
132,regularMarketTime,1749672002
133,cryptoTradeable,False
134,hasPrePostMarketData,True
135,firstTradeDateMilliseconds,1522762200000
136,postMarketChangePercent,0.11422251
137,postMarketPrice,709.95
138,postMarketChange,0.80999756
139,regularMarketChange,15.82
140,regularMarketDayRange,692.0 - 714.71
141,fullExchangeName,NYSE
142,averageDailyVolume3Month,2470025
143,fiftyTwoWeekLowChange,421.07
144,fiftyTwoWeekLowChangePercent,1.4616933
145,fiftyTwoWeekRange,288.07 - 717.87
146,fiftyTwoWeekHighChange,-8.72998
147,fiftyTwoWeekHighChangePercent,-0.012160949
148,fiftyTwoWeekChangePercent,119.75975
149,earningsTimestamp,1745929800
150,earningsTimestampStart,1753273800
151,earningsTimestampEnd,1754569800
152,earningsCallTimestampStart,1745928000
153,earningsCallTimestampEnd,1745928000
154,isEarningsDateEstimate,True
155,epsTrailingTwelveMonths,6.31
156,epsForward,8.91
157,epsCurrentYear,8.92742
158,priceEpsCurrentYear,79.43393
159,fiftyDayAverageChange,92.46704
160,fiftyDayAverageChangePercent,0.14994502
161,twoHundredDayAverageChange,206.25705
162,twoHundredDayAverageChangePercent,0.41014922
163,sourceInterval,15
164,exchangeDataDelayedBy,0
165,averageAnalystRating,1.9 - Buy
166,displayName,Spotify Technology
167,trailingPegRatio,1.7156
