,index,0
58,trailingAnnualDividendRate,3.24
59,trailingAnnualDividendYield,0.0068801492
60,currency,USD
61,tradeable,False
62,enterpriseValue,3525534547968
63,profitMargins,0.35789
64,floatShares,7422063978
65,sharesOutstanding,7432540160
66,sharesShort,58182215
67,sharesShortPriorMonth,50313676
68,sharesShortPreviousMonthDate,1745971200
69,dateShortInterest,1748563200
70,sharesPercentSharesOut,0.0078
71,heldPercentInsiders,0.00063
72,heldPercentInstitutions,0.74701
73,shortRatio,2.49
74,shortPercentOfFloat,0.0078
75,impliedSharesOutstanding,7432540160
76,bookValue,43.3
77,priceToBook,10.915011
78,lastFiscalYearEnd,1719705600
79,nextFiscalYearEnd,1751241600
80,mostRecentQuarter,1743379200
81,earningsQuarterlyGrowth,0.177
82,netIncomeToCommon,96635002880
83,trailingEps,12.9
84,forwardEps,14.95
85,lastSplitFactor,2:1
86,lastSplitDate,1045526400
87,enterpriseToRevenue,13.057
88,enterpriseToEbitda,23.634
89,52WeekChange,0.067700505
90,SandP52WeekChange,0.11395991
91,lastDividendValue,0.83
92,lastDividendDate,1747267200
93,quoteType,EQUITY
94,currentPrice,472.62
95,targetHighPrice,700.0
96,targetLowPrice,429.86
97,targetMeanPrice,513.3414
98,targetMedianPrice,502.5
99,recommendationMean,1.43333
100,recommendationKey,strong_buy
101,numberOfAnalystOpinions,50
102,totalCash,79617998848
103,totalCashPerShare,10.712
104,ebitda,149172994048
105,totalDebt,105018998784
106,quickRatio,1.244
107,currentRatio,1.372
108,totalRevenue,270010007552
109,debtToEquity,32.626
110,revenuePerShare,36.325
111,returnOnAssets,0.14581999
112,returnOnEquity,0.3361
113,grossProfits,186509000704
114,freeCashflow,54817001472
115,operatingCashflow,130710003712
116,earningsGrowth,0.177
117,revenueGrowth,0.133
118,grossMargins,0.69074994
119,ebitdaMargins,0.55247
120,operatingMargins,0.45671
121,financialCurrency,USD
122,symbol,MSFT
123,language,en-US
124,region,US
125,typeDisp,Equity
126,quoteSourceName,Nasdaq Real Time Price
127,triggerable,True
128,customPriceAlertConfidence,HIGH
129,shortName,Microsoft Corporation
130,longName,Microsoft Corporation
131,regularMarketChangePercent,0.3609916
132,regularMarketPrice,472.62
133,corporateActions,[]
134,postMarketTime,1749673556
135,regularMarketTime,1749672001
136,exchange,NMS
137,messageBoardId,finmb_21835
138,exchangeTimezoneName,America/New_York
139,exchangeTimezoneShortName,EDT
140,gmtOffSetMilliseconds,-14400000
141,market,us_market
142,esgPopulated,False
143,dividendDate,1749686400
144,earningsTimestamp,1746043200
145,earningsTimestampStart,1753732800
146,earningsTimestampEnd,1754078400
147,earningsCallTimestampStart,1746048600
148,earningsCallTimestampEnd,1746048600
149,isEarningsDateEstimate,True
150,epsTrailingTwelveMonths,12.9
151,epsForward,14.95
152,epsCurrentYear,13.39192
153,priceEpsCurrentYear,35.291428
154,fiftyDayAverageChange,52.626404
155,fiftyDayAverageChangePercent,0.12530287
156,twoHundredDayAverageChange,53.957245
157,twoHundredDayAverageChangePercent,0.12887998
158,sourceInterval,15
159,exchangeDataDelayedBy,0
160,averageAnalystRating,1.4 - Strong Buy
161,cryptoTradeable,False
162,hasPrePostMarketData,True
163,firstTradeDateMilliseconds,511108200000
164,postMarketChangePercent,0.5056948
165,postMarketPrice,475.01
166,postMarketChange,2.3900146
167,regularMarketChange,1.6999817
168,regularMarketDayRange,469.655 - 475.46
169,fullExchangeName,NasdaqGS
170,averageDailyVolume3Month,23192628
171,fiftyTwoWeekLowChange,127.82999
172,fiftyTwoWeekLowChangePercent,0.37074736
173,fiftyTwoWeekRange,344.79 - 475.46
174,fiftyTwoWeekHighChange,-2.8399963
175,fiftyTwoWeekHighChangePercent,-0.005973155
176,fiftyTwoWeekChangePercent,6.7700505
177,marketState,POST
178,displayName,Microsoft
179,trailingPegRatio,2.2173
